                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.3742,                0.69609,                 1.0897,                0.84217,                0.85879,                0.85204,                 0.5759,                 1.2254,                0.67945,                 1.1502,               0.002575,               0.002575,               0.002575
                     62,                 1.3897,                0.70047,                 1.0823,                0.83191,                    0.9,                0.85357,                0.51447,                 1.1368,                0.64986,                 1.1163,              0.0024513,              0.0024513,              0.0024513
                     63,                 1.3759,                0.69291,                 1.1017,                0.76689,                0.83426,                0.84748,                0.55642,                 1.0916,                0.63054,                 1.1195,              0.0023275,              0.0023275,              0.0023275
                     64,                 1.3672,                0.67867,                 1.0768,                0.89367,                0.83333,                0.87349,                0.56033,                  1.153,                0.63144,                 1.1199,              0.0022038,              0.0022038,              0.0022038
                     65,                 1.3849,                0.69875,                 1.0912,                0.89949,                0.86667,                0.87454,                0.54363,                 1.1851,                0.62305,                 1.1204,                0.00208,                0.00208,                0.00208
                     66,                  1.367,                0.69472,                 1.0774,                0.88987,                 0.8459,                0.88923,                0.60187,                 1.1648,                0.63151,                 1.1298,              0.0019563,              0.0019563,              0.0019563
                     67,                 1.3576,                0.67996,                 1.0839,                0.82717,                0.86667,                0.83479,                0.55878,                 1.1262,                0.65242,                 1.1193,              0.0018325,              0.0018325,              0.0018325
                     68,                 1.3647,                 0.6828,                  1.078,                0.78837,                    0.9,                 0.8316,                0.54803,                 1.1459,                0.61236,                 1.1164,              0.0017087,              0.0017087,              0.0017087
                     69,                 1.3564,                0.66942,                 1.0649,                0.83884,                0.86589,                0.87162,                0.58487,                 1.1856,                0.62637,                 1.1352,               0.001585,               0.001585,               0.001585
                     70,                 1.3291,                0.66095,                 1.1031,                0.93013,                0.82851,                0.87225,                0.56065,                 1.1416,                0.58679,                 1.1132,              0.0014612,              0.0014612,              0.0014612
                     71,                  1.311,                0.64796,                 1.1027,                0.82814,                0.88239,                0.86751,                 0.5371,                 1.1352,                0.60388,                 1.1056,              0.0013375,              0.0013375,              0.0013375
                     72,                 1.2968,                 0.6312,                 1.0919,                0.98044,                0.89642,                0.92555,                0.59828,                 1.0827,                0.58434,                 1.0972,              0.0012138,              0.0012138,              0.0012138
                     73,                 1.2972,                0.62231,                 1.0944,                0.92957,                0.86667,                0.87046,                 0.5621,                 1.1771,                0.62275,                 1.1333,                0.00109,                0.00109,                0.00109
                     74,                 1.2726,                0.62208,                 1.0757,                0.92332,                    0.9,                0.93125,                0.56434,                 1.1462,                0.61545,                 1.1328,             0.00096625,             0.00096625,             0.00096625
                     75,                 1.2718,                0.61392,                 1.0882,                0.87484,                0.86667,                0.85751,                0.55442,                 1.1588,                0.60163,                 1.1176,              0.0008425,              0.0008425,              0.0008425
                     76,                 1.2673,                0.59809,                 1.0879,                0.91807,                0.89623,                 0.8886,                0.59432,                 1.1085,                0.59176,                  1.118,             0.00071875,             0.00071875,             0.00071875
                     77,                 1.2638,                0.60778,                 1.0842,                0.90802,                0.89392,                0.88539,                0.58401,                   1.11,                0.58852,                 1.1106,               0.000595,               0.000595,               0.000595
                     78,                 1.2715,                 0.6082,                 1.0798,                 0.9472,                0.93333,                0.94591,                0.58801,                 1.0796,                0.56302,                 1.1124,             0.00047125,             0.00047125,             0.00047125
                     79,                 1.2633,                0.60282,                 1.0806,                0.97165,                    0.9,                0.93849,                0.57621,                 1.0834,                0.56478,                 1.1148,              0.0003475,              0.0003475,              0.0003475
